1
Id,Ator,Nascimento,Melhor Filme,Oscars
1,Al Pacino,1940,Scent of a Woman,1
2,Alan Arkin,1934,Little Miss Sunshine,1
3,Alan Rickman,1946,Michael Collins,0
4,Albert Finney,1936,The Murder on the orient Express,0
5,Alec Guinness,1914,Star Wars,1
6,Anthony Hopkins,1937,The Silence of the Lambs,1
7,Anthony Quinn,1915,Lust for Life,2
9,Benicio Del Toro,1967,21 Grams,1
8,Ben Kingsley,1943,Sexy Beast,1
10,Bill Murray,1950,Lost in Translation,0
11,Brad Pitt,1963,The Curious Case of Benjamin Button,1
12,Burt Lancaster,1913,Atlantic City,1
13,Cary Grant,1904,Penny Serenade,0
14,Charles Chaplin,1889,The Great Dictator,1
15,Charles Laughton,1899,Mutiny on the Bounty,1
16,Charlton Heston,1923,Ben Hur,1
17,Christian Bale,1974,The Fighter,1
18,Christoph Waltz,1956,Carnage,2
19,Christopher Plummer,1929,The Last Station,1
20,Christopher Walken,1943,The Deer Hunter,1
21,Clark Gable,1901,Gone with the Wind,1
22,Clint Eastwood,1930,Million Dollar Baby,2
23,Colin Firth,1960,A Single Man,1
24,Daniel Day-Lewis,1957,There Will Be Blood,3
25,Denzel Washington,1954,Malcolm X,2
26,Don Cheadle,1964,The Rat Pack,0
27,Dustin Hoffman,1937,Rain Man,2
28,Edward Norton,1969,Primal Fear,0
29,Gary Cooper,1901,High Noon,2
30,Gary Oldman,1958,Prick Up Your Ears,0
31,Gene Hackman,1930,Unforgiven,2
32,Gene Kelly,1912,Hello Dolly,0
33,Geoffrey Rush,1951,Shine Quills,1
34,George Scott,1927,The Hustler,1
35,Gregory Peck,1916,To Kill a Mockingbird,1
36,Harrison Ford,1942,Witness,0
37,Heath Ledger,1979,The Dark Knight,1
38,Henry Fonda,1905,Angry Men,1
39,Hugh Jackman,1968,The Fountain,0
40,Humphrey Bogart,1899,The Caine Mutiny,1
41,Ian McKellen,1939,The Lord of the Rings,0
42,Jack Lemmon,1925,The Apartment,2
43,Jack Nicholson,1837,The Shining,3
44,James Cagney,1899,Love Me or Leave Me,1
45,James Dean,1931,East of Eden,0
46,James Stewart,1908,Anatomy of a Murder,1
47,Jamie Foxx,1967,Django Unchained,1
48,Jason Robards,1922,Melvin and Howard,2
49,Javier Bardem,1969,Before Night Falls,1
50,Jeff Bridges,1949,The Big Lebowski,1
51,Jeremy Irons,1948,Dead Ringers,1
52,Jim Carrey,1962,Man on the Moon,0
53,Joaquin Phoenix,1974,The Master,0
54,Joe Pesci,1943,Raging Bull,1
55,John Goodman,1952,Barton Fink,0
56,John Travolta,1954,Saturday Night Fever,0
57,John Wayne,1907,True Grit,1
58,Johnny Depp,1963,Ed Wood,0
59,Jon Voight,1938,Coming Home,1
60,Kevin Spacey,1959,The Usual Suspects,2
61,Kirk Douglas,1916,Lust for Life,0
62,Laurence Olivier,1907,The Spartacus,1
63,Leonardo DiCaprio,1974,The Revenant,1
64,Liam Neeson,1952,Michael Collins,0
65,Marlon Brando,1924,The Godfather,2
66,Martin Sheen,1940,Apocalypse Now,0
67,Matt Damon,1970,Good Will Hunting,1
68,Matthew McConaughey,1969,Killer Joe,1
69,Mel Gibson,1956,What Women Want,2
70,Michael Caine,1933,The Dark Knight,2
71,Michael Douglas,1944,Behind the Candelabra,2
72,Morgan Freeman,1937,The Shawshank Redemption,1
73,Nicolas Cage,1964,Valley Girl,1
74,Orson Welles,1915,Citizen Kane,0
75,Paul Newman,1925,The Hustler,1
76,Peter Finch,1916,Sunday Bloody Sunday,1
77,Peter O'Toole,1932,Lawrence of Arabia,0
78,Peter Sellers,1925,Being There,0
79,Philip Seymour Hoffman,1967,The Master,1
80,Ralph Fiennes,1962,The Grand Budapest Hotel,0
81,Richard Burton,1925,My Cousin Rachel,0
82,Robert De Niro,1943,Raging Bull,2
83,Robert Downey Jr.,1965,Tropic Thunder,0
84,Robert Duvall,1931,The Apostle,1
85,Robert Mitchum,1917,Story of G.I. Joe,0
86,Robert Redford,1936,The String,1
87,Robin Williams,1951,The Fisher King,1
88,Russell Crowe,1964,The Insider,1
89,Samuel L Jackson,1948,Pulp Fiction,0
90,Sean Connery,1930,The Untouchables,1
91,Sean Penn,1960,I Am Sam,2
92,Sidney Poitier,1927,Lilies of the Field,1
93,Spencer Tracy,1900,Boys Town,2
94,Steve McQueen,1930,The Sand Pebbles,0
95,Tom Cruise,1962,Top Gun,0
96,Tom Hanks,1956,Cast Away,2
97,Tommy Lee Jones,1946,In the Valley of Elah,1
98,Will Smith,1968,The Pursuit of Happiness,0
99,William Holden,1918,Sunset Blvd,1
100,Woody Allen,1935,Annie Hall,4
